,file,ph seq,transcript
3690,MAN_PG_3690_Z1Z59A,sil z_B iy_I r_I ow_E sil hh_B w_I ah_I n_E sil z_B iy_I r_I ow_E f_B ay_I v_E sil n_B ay_I n_E sil, zero one zero five nine
3691,MAN_PG_3691_Z22Z1A,sil z_B iy_I r_I ow_E t_B uw_E sil t_B uw_E sil z_B iy_I r_I ow_E hh_B w_I ah_I n_E sil, zero two two zero one
3692,MAN_PG_3692_Z6A,sil z_B iy_I r_I ow_E s_B ih_I k_I s_E sil, zero six
3693,MAN_PG_3693_Z8ZZ8A,sil z_B iy_I r_I ow_E ey_B t_E sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil ey_B t_E sil, zero eight zero zero eight
3694,MAN_PG_3694_ZA,sil z_B iy_I r_I ow_E sil, zero
3695,MAN_PG_3695_ZB,sil z_B iy_I r_I ow_E sil, zero
3696,MAN_PG_3696_ZZ7A,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil, zero zero seven
3697,MAN_PH_3697_3B,sil th_B r_I iy_E sil, three
3698,MAN_PH_3698_6A,sil s_B ih_I k_I s_E sil, six
3699,MAN_PH_3699_132O678A,sil hh_B w_I ah_I n_E th_B r_I iy_E t_B uw_E sil ow_S s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E ey_B t_E sil, one three two oh six seven eight
3700,MAN_PH_3700_16ZZA,sil hh_B w_I ah_I n_E s_B ih_I k_I s_E sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, one six zero zero
3701,MAN_PH_3701_1947A,sil hh_B w_I ah_I n_E n_B ay_I n_E f_B ao_I r_E s_B eh_I v_I ah_I n_E sil, one nine four seven
3702,MAN_PH_3702_19A,sil hh_B w_I ah_I n_E n_B ay_I n_E sil, one nine
3703,MAN_PH_3703_1A,sil hh_B w_I ah_I n_E sil, one
3704,MAN_PH_3704_1B,sil hh_B w_I ah_I n_E sil, one
3705,MAN_PH_3705_1Z79A,sil hh_B w_I ah_I n_E z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E n_B ay_I n_E sil, one zero seven nine
3706,MAN_PH_3706_2214A,sil t_B uw_E t_B uw_E hh_B w_I ah_I n_E f_B ao_I r_E sil, two two one four
3707,MAN_PH_3707_24A,sil t_B uw_E f_B ao_I r_E sil, two four
3708,MAN_PH_3708_2662ZZ6A,sil t_B uw_E s_B ih_I k_I s_E s_B ih_I k_I s_E sil t_B uw_E z_B iy_I r_I ow_E z_B iy_I r_I ow_E s_B ih_I k_I s_E sil, two six six two zero zero six
3709,MAN_PH_3709_27A,sil t_B uw_E s_B eh_I v_I ah_I n_E sil, two seven
3710,MAN_PH_3710_29A,sil t_B uw_E n_B ay_I n_E sil, two nine
3711,MAN_PH_3711_2A,sil t_B uw_E sil, two
3712,MAN_PH_3712_2B,sil t_B uw_E sil, two
3713,MAN_PH_3713_338A,sil th_B r_I iy_E th_B r_I iy_E ey_B t_E sil, three three eight
3714,MAN_PH_3714_33Z22A,sil th_B r_I iy_E th_B r_I iy_E z_B iy_I r_I ow_E t_B uw_E t_B uw_E sil, three three zero two two
3715,MAN_PH_3715_3857A,sil th_B r_I iy_E ey_B t_E f_B ay_I v_E s_B eh_I v_I ah_I n_E sil, three eight five seven
3716,MAN_PH_3716_3931ZA,sil th_B r_I iy_E n_B ay_I n_E th_B r_I iy_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E sil, three nine three one zero
3717,MAN_PH_3717_3A,sil th_B r_I iy_E sil, three
3718,MAN_PH_3718_3OA,sil th_B r_I iy_E sil ow_S sil, three oh
3719,MAN_PH_3719_41A,sil f_B ao_I r_E hh_B w_I ah_I n_E sil, four one
3720,MAN_PH_3720_43475A,sil f_B ao_I r_E th_B r_I iy_E f_B ao_I r_E s_B eh_I v_I ah_I n_E f_B ay_I v_E sil, four three four seven five
3721,MAN_PH_3721_43A,sil f_B ao_I r_E th_B r_I iy_E sil, four three
3722,MAN_PH_3722_491896OA,sil f_B ao_I r_E n_B ay_I n_E hh_B w_I ah_I n_E sil ey_B t_E n_B ay_I n_E sil s_B ih_I k_I s_E sil ow_S sil, four nine one eight nine six oh
3723,MAN_PH_3723_4A,sil f_B ao_I r_E sil, four
3724,MAN_PH_3724_4B,sil f_B ao_I r_E sil, four
3725,MAN_PH_3725_4Z72A,sil f_B ao_I r_E z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E t_B uw_E sil, four zero seven two
3726,MAN_PH_3726_5237595A,sil f_B ay_I v_E t_B uw_E th_B r_I iy_E sil s_B eh_I v_I ah_I n_E f_B ay_I v_E n_B ay_I n_E f_B ay_I v_E sil, five two three seven five nine five
3727,MAN_PH_3727_5312A,sil f_B ay_I v_E th_B r_I iy_E hh_B w_I ah_I n_E t_B uw_E sil, five three one two
3728,MAN_PH_3728_586A,sil f_B ay_I v_E ey_B t_E s_B ih_I k_I s_E sil, five eight six
3729,MAN_PH_3729_58Z3745A,sil f_B ay_I v_E ey_B t_E z_B iy_I r_I ow_E sil th_B r_I iy_E s_B eh_I v_I ah_I n_E f_B ao_I r_E f_B ay_I v_E sil, five eight zero three seven four five
3730,MAN_PH_3730_5A,sil f_B ay_I v_E sil, five
3731,MAN_PH_3731_5B,sil f_B ay_I v_E sil, five
3732,MAN_PH_3732_5Z448A,sil f_B ay_I v_E z_B iy_I r_I ow_E f_B ao_I r_E f_B ao_I r_E ey_B t_E sil, five zero four four eight
3733,MAN_PH_3733_6326A,sil s_B ih_I k_I s_E sil th_B r_I iy_E t_B uw_E s_B ih_I k_I s_E sil, six three two six
3734,MAN_PH_3734_64884A,sil s_B ih_I k_I s_E f_B ao_I r_E ey_B t_E ey_B t_E f_B ao_I r_E sil, six four eight eight four
3735,MAN_PH_3735_6721O86A,sil s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E t_B uw_E sil hh_B w_I ah_I n_E ow_S sil ey_B t_E s_B ih_I k_I s_E sil, six seven two one oh eight six
3736,MAN_PH_3736_683A,sil s_B ih_I k_I s_E ey_B t_E th_B r_I iy_E sil, six eight three
3737,MAN_PH_3737_6B,sil s_B ih_I k_I s_E sil, six
3738,MAN_PH_3738_6O7A,sil s_B ih_I k_I s_E sil ow_S s_B eh_I v_I ah_I n_E sil, six oh seven
3739,MAN_PH_3739_73566A,sil s_B eh_I v_I ah_I n_E th_B r_I iy_E f_B ay_I v_E s_B ih_I k_I s_E s_B ih_I k_I s_E sil, seven three five six six
3740,MAN_PH_3740_768A,sil s_B eh_I v_I ah_I n_E sil s_B ih_I k_I s_E ey_B t_E sil, seven six eight
3741,MAN_PH_3741_769A,sil s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E n_B ay_I n_E sil, seven six nine
3742,MAN_PH_3742_779A,sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E n_B ay_I n_E sil, seven seven nine
3743,MAN_PH_3743_79ZA,sil s_B eh_I v_I ah_I n_E n_B ay_I n_E z_B iy_I r_I ow_E sil, seven nine zero
3744,MAN_PH_3744_7A,sil s_B eh_I v_I ah_I n_E sil, seven
3745,MAN_PH_3745_7B,sil s_B eh_I v_I ah_I n_E sil, seven
3746,MAN_PH_3746_7O914O3A,sil s_B eh_I v_I ah_I n_E ow_S n_B ay_I n_E sil hh_B w_I ah_I n_E f_B ao_I r_E ow_S th_B r_I iy_E sil, seven oh nine one four oh three
3747,MAN_PH_3747_8288A,sil ey_B t_E t_B uw_E ey_B t_E ey_B t_E sil, eight two eight eight
3748,MAN_PH_3748_83O44A,sil ey_B t_E th_B r_I iy_E ow_S f_B ao_I r_E f_B ao_I r_E sil, eight three oh four four
3749,MAN_PH_3749_8424628A,sil ey_B t_E f_B ao_I r_E t_B uw_E sil f_B ao_I r_E s_B ih_I k_I s_E t_B uw_E ey_B t_E sil, eight four two four six two eight
3750,MAN_PH_3750_89A,sil ey_B t_E n_B ay_I n_E sil, eight nine
3751,MAN_PH_3751_8A,sil ey_B t_E sil, eight
3752,MAN_PH_3752_8B,sil ey_B t_E sil, eight
3753,MAN_PH_3753_8O1A,sil ey_B t_E ow_S hh_B w_I ah_I n_E sil, eight oh one
3754,MAN_PH_3754_92A,sil n_B ay_I n_E t_B uw_E sil, nine two
3755,MAN_PH_3755_9418A,sil n_B ay_I n_E f_B ao_I r_E hh_B w_I ah_I n_E ey_B t_E sil, nine four one eight
3756,MAN_PH_3756_9A,sil n_B ay_I n_E sil, nine
3757,MAN_PH_3757_9B,sil n_B ay_I n_E sil, nine
3758,MAN_PH_3758_9O2A,sil n_B ay_I n_E sil ow_S t_B uw_E sil, nine oh two
3759,MAN_PH_3759_9OO71A,sil n_B ay_I n_E sil ow_S ow_S s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E sil, nine oh oh seven one
3760,MAN_PH_3760_O15OO64A,sil ow_S hh_B w_I ah_I n_E f_B ay_I v_E sil ow_S ow_S s_B ih_I k_I s_E f_B ao_I r_E sil, oh one five oh oh six four
3761,MAN_PH_3761_O25A,sil ow_S t_B uw_E f_B ay_I v_E sil, oh two five
3762,MAN_PH_3762_O3616A,sil ow_S th_B r_I iy_E s_B ih_I k_I s_E hh_B w_I ah_I n_E s_B ih_I k_I s_E sil, oh three six one six
3763,MAN_PH_3763_O542361A,sil ow_S f_B ay_I v_E f_B ao_I r_E sil t_B uw_E th_B r_I iy_E s_B ih_I k_I s_E hh_B w_I ah_I n_E sil, oh five four two three six one
3764,MAN_PH_3764_O8A,sil ow_S ey_B t_E sil, oh eight
3765,MAN_PH_3765_OA,sil ow_S sil, oh
3766,MAN_PH_3766_OB,sil ow_S sil, oh
3767,MAN_PH_3767_Z1151A,sil z_B iy_I r_I ow_E sil hh_B w_I ah_I n_E hh_B w_I ah_I n_E f_B ay_I v_E hh_B w_I ah_I n_E sil, zero one one five one
3768,MAN_PH_3768_Z255A,sil z_B iy_I r_I ow_E t_B uw_E f_B ay_I v_E f_B ay_I v_E sil, zero two five five
3769,MAN_PH_3769_Z8A,sil z_B iy_I r_I ow_E ey_B t_E sil, zero eight
3770,MAN_PH_3770_Z9Z54Z3A,sil z_B iy_I r_I ow_E n_B ay_I n_E z_B iy_I r_I ow_E f_B ay_I v_E f_B ao_I r_E z_B iy_I r_I ow_E th_B r_I iy_E sil, zero nine zero five four zero three
3771,MAN_PH_3771_ZA,sil z_B iy_I r_I ow_E sil, zero
3772,MAN_PH_3772_ZB,sil z_B iy_I r_I ow_E sil, zero
3773,MAN_PH_3773_ZZ657A,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil s_B ih_I k_I s_E f_B ay_I v_E s_B eh_I v_I ah_I n_E sil, zero zero six five seven
3774,MAN_PR_3774_3O17519A,sil th_B r_I iy_E ow_S hh_B w_I ah_I n_E sil s_B eh_I v_I ah_I n_E f_B ay_I v_E hh_B w_I ah_I n_E n_B ay_I n_E sil, three oh one seven five one nine
3775,MAN_PR_3775_6821A,sil s_B ih_I k_I s_E ey_B t_E t_B uw_E hh_B w_I ah_I n_E sil, six eight two one
3776,MAN_PR_3776_11Z1A,sil hh_B w_I ah_I n_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E hh_B w_I ah_I n_E sil, one one zero one
3777,MAN_PR_3777_12A,sil hh_B w_I ah_I n_E t_B uw_E sil, one two
3778,MAN_PR_3778_14817A,sil hh_B w_I ah_I n_E f_B ao_I r_E ey_B t_E hh_B w_I ah_I n_E s_B eh_I v_I ah_I n_E sil, one four eight one seven
3779,MAN_PR_3779_1684A,sil hh_B w_I ah_I n_E s_B ih_I k_I s_E ey_B t_E f_B ao_I r_E sil, one six eight four
3780,MAN_PR_3780_1A,sil hh_B w_I ah_I n_E sil, one
3781,MAN_PR_3781_1B,sil hh_B w_I ah_I n_E sil, one
3782,MAN_PR_3782_1OA,sil hh_B w_I ah_I n_E ow_S sil, one oh
3783,MAN_PR_3783_226A,sil t_B uw_E t_B uw_E s_B ih_I k_I s_E sil, two two six
3784,MAN_PR_3784_2452A,sil t_B uw_E f_B ao_I r_E f_B ay_I v_E t_B uw_E sil, two four five two
3785,MAN_PR_3785_24712A,sil t_B uw_E f_B ao_I r_E s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E t_B uw_E sil, two four seven one two
3786,MAN_PR_3786_2A,sil t_B uw_E sil, two
3787,MAN_PR_3787_2B,sil t_B uw_E sil, two
3788,MAN_PR_3788_2OOA,sil t_B uw_E sil ow_S ow_S sil, two oh oh
3789,MAN_PR_3789_2Z975A,sil t_B uw_E z_B iy_I r_I ow_E sil n_B ay_I n_E s_B eh_I v_I ah_I n_E f_B ay_I v_E sil, two zero nine seven five
3790,MAN_PR_3790_3113Z64A,sil th_B r_I iy_E hh_B w_I ah_I n_E hh_B w_I ah_I n_E sil th_B r_I iy_E z_B iy_I r_I ow_E s_B ih_I k_I s_E f_B ao_I r_E sil, three one one three zero six four
3791,MAN_PR_3791_3784956A,sil th_B r_I iy_E s_B eh_I v_I ah_I n_E ey_B t_E sil f_B ao_I r_E n_B ay_I n_E f_B ay_I v_E s_B ih_I k_I s_E sil, three seven eight four nine five six
3792,MAN_PR_3792_37A,sil th_B r_I iy_E s_B eh_I v_I ah_I n_E sil, three seven
3793,MAN_PR_3793_3A,sil th_B r_I iy_E sil, three
3794,MAN_PR_3794_3B,sil th_B r_I iy_E sil, three
3795,MAN_PR_3795_3Z5A,sil th_B r_I iy_E z_B iy_I r_I ow_E f_B ay_I v_E sil, three zero five
3796,MAN_PR_3796_42ZA,sil f_B ao_I r_E t_B uw_E z_B iy_I r_I ow_E sil, four two zero
3797,MAN_PR_3797_43A,sil f_B ao_I r_E th_B r_I iy_E sil, four three
3798,MAN_PR_3798_44A,sil f_B ao_I r_E f_B ao_I r_E sil, four four
3799,MAN_PR_3799_44B,sil f_B ao_I r_E f_B ao_I r_E sil, four four
3800,MAN_PR_3800_479994OA,sil f_B ao_I r_E s_B eh_I v_I ah_I n_E n_B ay_I n_E sil n_B ay_I n_E n_B ay_I n_E f_B ao_I r_E sil ow_S sil, four seven nine nine nine four oh
3801,MAN_PR_3801_4A,sil f_B ao_I r_E sil, four
3802,MAN_PR_3802_4B,sil f_B ao_I r_E sil, four
3803,MAN_PR_3803_51915A,sil f_B ay_I v_E hh_B w_I ah_I n_E n_B ay_I n_E hh_B w_I ah_I n_E f_B ay_I v_E sil, five one nine one five
3804,MAN_PR_3804_5332A,sil f_B ay_I v_E th_B r_I iy_E th_B r_I iy_E t_B uw_E sil, five three three two
3805,MAN_PR_3805_572A,sil f_B ay_I v_E s_B eh_I v_I ah_I n_E t_B uw_E sil, five seven two
3806,MAN_PR_3806_5A,sil f_B ay_I v_E sil, five
3807,MAN_PR_3807_5B,sil f_B ay_I v_E sil, five
3808,MAN_PR_3808_5Z22776A,sil f_B ay_I v_E z_B iy_I r_I ow_E t_B uw_E sil t_B uw_E s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E sil, five zero two two seven seven six
3809,MAN_PR_3809_5Z5539ZA,sil f_B ay_I v_E z_B iy_I r_I ow_E f_B ay_I v_E sil f_B ay_I v_E th_B r_I iy_E n_B ay_I n_E z_B iy_I r_I ow_E sil, five zero five five three nine zero
3810,MAN_PR_3810_63835A,sil s_B ih_I k_I s_E th_B r_I iy_E ey_B t_E sil th_B r_I iy_E f_B ay_I v_E sil, six three eight three five
3811,MAN_PR_3811_6572A,sil s_B ih_I k_I s_E f_B ay_I v_E s_B eh_I v_I ah_I n_E t_B uw_E sil, six five seven two
3812,MAN_PR_3812_66A,sil s_B ih_I k_I s_E s_B ih_I k_I s_E sil, six six
3813,MAN_PR_3813_67138A,sil s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E th_B r_I iy_E ey_B t_E sil, six seven one three eight
3814,MAN_PR_3814_6A,sil s_B ih_I k_I s_E sil, six
3815,MAN_PR_3815_6B,sil s_B ih_I k_I s_E sil, six
3816,MAN_PR_3816_7736A,sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E th_B r_I iy_E s_B ih_I k_I s_E sil, seven seven three six
3817,MAN_PR_3817_7836A,sil s_B eh_I v_I ah_I n_E ey_B t_E th_B r_I iy_E s_B ih_I k_I s_E sil, seven eight three six
3818,MAN_PR_3818_79OA,sil s_B eh_I v_I ah_I n_E n_B ay_I n_E ow_S sil, seven nine oh
3819,MAN_PR_3819_7A,sil s_B eh_I v_I ah_I n_E sil, seven
3820,MAN_PR_3820_7B,sil s_B eh_I v_I ah_I n_E sil, seven
3821,MAN_PR_3821_7O66A,sil s_B eh_I v_I ah_I n_E ow_S s_B ih_I k_I s_E s_B ih_I k_I s_E sil, seven oh six six
3822,MAN_PR_3822_7OA,sil s_B eh_I v_I ah_I n_E ow_S sil, seven oh
3823,MAN_PR_3823_81ZA,sil ey_B t_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E sil, eight one zero
3824,MAN_PR_3824_829Z898A,sil ey_B t_E t_B uw_E n_B ay_I n_E sil z_B iy_I r_I ow_E ey_B t_E n_B ay_I n_E ey_B t_E sil, eight two nine zero eight nine eight
3825,MAN_PR_3825_87Z25A,sil ey_B t_E s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E t_B uw_E f_B ay_I v_E sil, eight seven zero two five
3826,MAN_PR_3826_89343OOA,sil ey_B t_E n_B ay_I n_E th_B r_I iy_E sil f_B ao_I r_E th_B r_I iy_E sil ow_S ow_S sil, eight nine three four three oh oh
3827,MAN_PR_3827_8A,sil ey_B t_E sil, eight
3828,MAN_PR_3828_8B,sil ey_B t_E sil, eight
3829,MAN_PR_3829_8OA,sil ey_B t_E ow_S sil, eight oh
3830,MAN_PR_3830_9146ZA,sil n_B ay_I n_E hh_B w_I ah_I n_E f_B ao_I r_E s_B ih_I k_I s_E z_B iy_I r_I ow_E sil, nine one four six zero
3831,MAN_PR_3831_9258ZA,sil n_B ay_I n_E t_B uw_E f_B ay_I v_E ey_B t_E z_B iy_I r_I ow_E sil, nine two five eight zero
3832,MAN_PR_3832_933A,sil n_B ay_I n_E th_B r_I iy_E th_B r_I iy_E sil, nine three three
3833,MAN_PR_3833_95A,sil n_B ay_I n_E f_B ay_I v_E sil, nine five
3834,MAN_PR_3834_96OA,sil n_B ay_I n_E s_B ih_I k_I s_E ow_S sil, nine six oh
3835,MAN_PR_3835_9A,sil n_B ay_I n_E sil, nine
3836,MAN_PR_3836_9B,sil n_B ay_I n_E sil, nine
3837,MAN_PR_3837_O2OA,sil ow_S t_B uw_E ow_S sil, oh two oh
3838,MAN_PR_3838_O394A,sil ow_S th_B r_I iy_E n_B ay_I n_E f_B ao_I r_E sil, oh three nine four
3839,MAN_PR_3839_O635885A,sil ow_S s_B ih_I k_I s_E th_B r_I iy_E sil f_B ay_I v_E ey_B t_E ey_B t_E f_B ay_I v_E sil, oh six three five eight eight five
3840,MAN_PR_3840_O8O3415A,sil ow_S ey_B t_E ow_S sil th_B r_I iy_E f_B ao_I r_E hh_B w_I ah_I n_E f_B ay_I v_E sil, oh eight oh three four one five
3841,MAN_PR_3841_OA,sil ow_S sil, oh
3842,MAN_PR_3842_OB,sil ow_S sil, oh
3843,MAN_PR_3843_OO7A,sil ow_S ow_S s_B eh_I v_I ah_I n_E sil, oh oh seven
3844,MAN_PR_3844_Z1A,sil z_B iy_I r_I ow_E hh_B w_I ah_I n_E sil, zero one
3845,MAN_PR_3845_Z418874A,sil z_B iy_I r_I ow_E f_B ao_I r_E hh_B w_I ah_I n_E sil ey_B t_E ey_B t_E s_B eh_I v_I ah_I n_E f_B ao_I r_E sil, zero four one eight eight seven four
3846,MAN_PR_3846_ZA,sil z_B iy_I r_I ow_E sil, zero
3847,MAN_PR_3847_ZB,sil z_B iy_I r_I ow_E sil, zero
3848,MAN_PR_3848_ZZ32A,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E th_B r_I iy_E t_B uw_E sil, zero zero three two
3849,MAN_PR_3849_ZZ648A,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E s_B ih_I k_I s_E f_B ao_I r_E ey_B t_E sil, zero zero six four eight
3850,MAN_PR_3850_ZZ927A,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E n_B ay_I n_E t_B uw_E s_B eh_I v_I ah_I n_E sil, zero zero nine two seven
3851,MAN_RK_3851_3A,sil th_B r_I iy_E sil, three
3852,MAN_RK_3852_6A,sil s_B ih_I k_I s_E sil, six
3853,MAN_RK_3853_11O5A,sil hh_B w_I ah_I n_E hh_B w_I ah_I n_E ow_S f_B ay_I v_E sil, one one oh five
3854,MAN_RK_3854_124A,sil hh_B w_I ah_I n_E t_B uw_E f_B ao_I r_E sil, one two four
3855,MAN_RK_3855_151A,sil hh_B w_I ah_I n_E f_B ay_I v_E hh_B w_I ah_I n_E sil, one five one
3856,MAN_RK_3856_1819958A,sil hh_B w_I ah_I n_E ey_B t_E hh_B w_I ah_I n_E n_B ay_I n_E n_B ay_I n_E f_B ay_I v_E ey_B t_E sil, one eight one nine nine five eight
3857,MAN_RK_3857_1A,sil hh_B w_I ah_I n_E sil, one
3858,MAN_RK_3858_1B,sil hh_B w_I ah_I n_E sil, one
3859,MAN_RK_3859_1O79A,sil hh_B w_I ah_I n_E ow_S s_B eh_I v_I ah_I n_E n_B ay_I n_E sil, one oh seven nine
3860,MAN_RK_3860_213Z1ZZA,sil t_B uw_E hh_B w_I ah_I n_E th_B r_I iy_E z_B iy_I r_I ow_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, two one three zero one zero zero
3861,MAN_RK_3861_21A,sil t_B uw_E hh_B w_I ah_I n_E sil, two one
3862,MAN_RK_3862_22A,sil t_B uw_E t_B uw_E sil, two two
3863,MAN_RK_3863_2452A,sil t_B uw_E f_B ao_I r_E f_B ay_I v_E t_B uw_E sil, two four five two
3864,MAN_RK_3864_283759OA,sil t_B uw_E ey_B t_E th_B r_I iy_E sil s_B eh_I v_I ah_I n_E f_B ay_I v_E n_B ay_I n_E ow_S sil, two eight three seven five nine oh
3865,MAN_RK_3865_2A,sil t_B uw_E sil, two
3866,MAN_RK_3866_2B,sil t_B uw_E sil, two
3867,MAN_RK_3867_32A,sil th_B r_I iy_E t_B uw_E sil, three two
3868,MAN_RK_3868_336O198A,sil th_B r_I iy_E th_B r_I iy_E s_B ih_I k_I s_E ow_S hh_B w_I ah_I n_E n_B ay_I n_E ey_B t_E sil, three three six oh one nine eight
3869,MAN_RK_3869_35A,sil th_B r_I iy_E f_B ay_I v_E sil, three five
3870,MAN_RK_3870_35Z7A,sil th_B r_I iy_E f_B ay_I v_E z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil, three five zero seven
3871,MAN_RK_3871_388943OA,sil th_B r_I iy_E ey_B t_E ey_B t_E sil n_B ay_I n_E f_B ao_I r_E th_B r_I iy_E ow_S sil, three eight eight nine four three oh
3872,MAN_RK_3872_3B,sil th_B r_I iy_E sil, three
3873,MAN_RK_3873_416A,sil f_B ao_I r_E hh_B w_I ah_I n_E s_B ih_I k_I s_E sil, four one six
3874,MAN_RK_3874_429A,sil f_B ao_I r_E t_B uw_E n_B ay_I n_E sil, four two nine
3875,MAN_RK_3875_44A,sil f_B ao_I r_E f_B ao_I r_E sil, four four
3876,MAN_RK_3876_49594A,sil f_B ao_I r_E n_B ay_I n_E f_B ay_I v_E n_B ay_I n_E f_B ao_I r_E sil, four nine five nine four
3877,MAN_RK_3877_4A,sil f_B ao_I r_E sil, four
3878,MAN_RK_3878_4B,sil f_B ao_I r_E sil, four
3879,MAN_RK_3879_4O73A,sil f_B ao_I r_E ow_S s_B eh_I v_I ah_I n_E th_B r_I iy_E sil, four oh seven three
3880,MAN_RK_3880_534Z2A,sil f_B ay_I v_E th_B r_I iy_E f_B ao_I r_E z_B iy_I r_I ow_E t_B uw_E sil, five three four zero two
3881,MAN_RK_3881_5617439A,sil f_B ay_I v_E s_B ih_I k_I s_E hh_B w_I ah_I n_E s_B eh_I v_I ah_I n_E f_B ao_I r_E th_B r_I iy_E n_B ay_I n_E sil, five six one seven four three nine
3882,MAN_RK_3882_57ZA,sil f_B ay_I v_E s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E sil, five seven zero
3883,MAN_RK_3883_57ZB,sil f_B ay_I v_E s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E sil, five seven zero
3884,MAN_RK_3884_5A,sil f_B ay_I v_E sil, five
3885,MAN_RK_3885_5B,sil f_B ay_I v_E sil, five
3886,MAN_RK_3886_5O4O98OA,sil f_B ay_I v_E ow_S f_B ao_I r_E sil ow_S n_B ay_I n_E ey_B t_E ow_S sil, five oh four oh nine eight oh
3887,MAN_RK_3887_62626A,sil s_B ih_I k_I s_E t_B uw_E s_B ih_I k_I s_E sil t_B uw_E s_B ih_I k_I s_E sil, six two six two six
3888,MAN_RK_3888_63884A,sil s_B ih_I k_I s_E th_B r_I iy_E ey_B t_E ey_B t_E f_B ao_I r_E sil, six three eight eight four
3889,MAN_RK_3889_66893A,sil s_B ih_I k_I s_E s_B ih_I k_I s_E ey_B t_E sil n_B ay_I n_E th_B r_I iy_E sil, six six eight nine three
3890,MAN_RK_3890_68Z9ZA,sil s_B ih_I k_I s_E ey_B t_E z_B iy_I r_I ow_E n_B ay_I n_E z_B iy_I r_I ow_E sil, six eight zero nine zero
3891,MAN_RK_3891_6B,sil s_B ih_I k_I s_E sil, six
3892,MAN_RK_3892_6Z33A,sil s_B ih_I k_I s_E z_B iy_I r_I ow_E th_B r_I iy_E th_B r_I iy_E sil, six zero three three
3893,MAN_RK_3893_72O445OA,sil s_B eh_I v_I ah_I n_E t_B uw_E ow_S f_B ao_I r_E f_B ao_I r_E f_B ay_I v_E ow_S sil, seven two oh four four five oh
3894,MAN_RK_3894_73Z1A,sil s_B eh_I v_I ah_I n_E th_B r_I iy_E z_B iy_I r_I ow_E hh_B w_I ah_I n_E sil, seven three zero one
3895,MAN_RK_3895_74A,sil s_B eh_I v_I ah_I n_E f_B ao_I r_E sil, seven four
3896,MAN_RK_3896_75A,sil s_B eh_I v_I ah_I n_E f_B ay_I v_E sil, seven five
3897,MAN_RK_3897_771Z7A,sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil, seven seven one zero seven
3898,MAN_RK_3898_7A,sil s_B eh_I v_I ah_I n_E sil, seven
3899,MAN_RK_3899_7B,sil s_B eh_I v_I ah_I n_E sil, seven
3900,MAN_RK_3900_816Z325A,sil ey_B t_E hh_B w_I ah_I n_E s_B ih_I k_I s_E sil z_B iy_I r_I ow_E th_B r_I iy_E t_B uw_E f_B ay_I v_E sil, eight one six zero three two five
3901,MAN_RK_3901_8399A,sil ey_B t_E th_B r_I iy_E n_B ay_I n_E n_B ay_I n_E sil, eight three nine nine
3902,MAN_RK_3902_85A,sil ey_B t_E f_B ay_I v_E sil, eight five
3903,MAN_RK_3903_872582OA,sil ey_B t_E s_B eh_I v_I ah_I n_E t_B uw_E f_B ay_I v_E ey_B t_E t_B uw_E ow_S sil, eight seven two five eight two oh
3904,MAN_RK_3904_8A,sil ey_B t_E sil, eight
3905,MAN_RK_3905_8B,sil ey_B t_E sil, eight
3906,MAN_RK_3906_8OA,sil ey_B t_E ow_S sil, eight oh
3907,MAN_RK_3907_913A,sil n_B ay_I n_E hh_B w_I ah_I n_E th_B r_I iy_E sil, nine one three
3908,MAN_RK_3908_9187A,sil n_B ay_I n_E hh_B w_I ah_I n_E ey_B t_E s_B eh_I v_I ah_I n_E sil, nine one eight seven
